full_address,lon,lat
"100 Lippincott Street, Toronto",-79.40704660000002,43.6576775
"973 Lansdowne Avenue, Toronto",-79.44601770000001,43.66611169999999
"43 Christie Street, Toronto",-79.4188483,43.665211
"1673 Kingston Road, Toronto",-79.2639232,43.6915695
"1229 Ellesmere Road, Toronto",-79.2674466,43.76828219999999
"1651 Sheppard Ave West, Toronto",-79.49417989999999,43.74060470000001
"4222 Kingston Road, Toronto",-79.1966894,43.7606727
"38 Bathrust St, Toronto",-79.402644,43.6411012
"291 Sherbourne Street, Toronto",-79.3714147,43.66057139999999
"67 Adelaide Street East, Toronto",-79.3752993,43.65098580000001
"339 George Street, Toronto",-79.3739222,43.6595832
"674 Dundas St. W, Toronto",-79.403679,43.6519385
"616 Vaughan Road Toronto, Toronto",-79.43990749999999,43.69185359999999
"20 Gerrard Street East, Toronto",-79.3815506,43.6591964
"2714 Danforth Avenue, Toronto",-79.2982555,43.6891159
"349 George Street, Toronto",-79.37430669999999,43.6601227
"60 Brant Street, Toronto",-79.39881079999999,43.6473226
"360 Lesmill Road, North York",-79.36089989999999,43.7633708
"25 Canterbury Place, North York",-79.4147577,43.7728179
"490 Sherbourne Street, 2nd floor, Toronto",-79.37508299999999,43.6676497
"389 Church Street, Toronto",-79.3790235,43.6616385
"86 Lombard St., Toronto",-79.3738782,43.6522764
"1161 Caledonia Road, Toronto",-79.4666091,43.7156529
"412 Queen Street East, Toronto",-79.3625224,43.6561511
"702 Kennedy Rd, Toronto",-79.2676228,43.7279038
"1322 Bloor Street West, Toronto",-79.44323419999999,43.6583716
"3576 St. Clair Avenue East, Scarborough",-79.2581094,43.717528
"805A Wellington Street W, Toronto",-79.41018059999999,43.6408941
"422 Gilbert Avenue, Toronto",-79.46238819999999,43.68935310000001
"1076 Pape Avenue, Toronto",-79.34966279999999,43.6909102
"14 Vaughan Road, Toronto",-79.4183468,43.681428
"558 Bathurst Street, Toronto",-79.4088139,43.6584733
"702 Kennedy Road, Scarborough",-79.2676228,43.7279038
"126 Pape Avenue, Toronto",-79.3385026,43.6628189
"60 Newcastle Street, Toronto",-79.4971911,43.61825350000001
"70 Gerrard St. E., Toronto",-79.37831159999999,43.6600505
"3410 Bayview Avenue, Toronto",-79.3954534,43.7979449
"525 Bloor Street East, Toronto",-79.37387869999999,43.6719733
"87 Pembroke St, Toronto",-79.37244849999999,43.6592042
"101 Ontario Street, Toronto",-79.3665754,43.6545576
"2808 Dundas St W, Toronto",-79.4631728,43.6656466
"723 Queen Street West, Toronto",-79.4063381,43.6464893
"107 Jarvis Street, Toronto",-79.3722725,43.6523669
"167 College Street, Toronto",-79.39355069999999,43.6589731
"Sherbourne Street, Toronto",-79.3722185,43.661228
"502 Spadina Ave., Toronto",-79.4007405,43.6586304
"191 Spadina Road, Toronto",-79.4063115,43.6736074
"95 Wellesley St. E., Toronto",-79.379245,43.66582690000001
"23 Grange Road, Toronto",-79.3914743,43.6520518
"875 Queen St E, Toronto",-79.3432223,43.6600075
"485 Queen St West, Toronto",-79.39796910000001,43.6481874
"21 Walmer Rd., Toronto",-79.4055245,43.6678959
"177 Caledonia Rd, Toronto",-79.45666279999999,43.6808902
"80 Woodlawn Ave. East, Toronto",-79.3898217,43.6846797
"6 Warrendale Court, Etobicoke",-79.58042689999999,43.7362929
"265 Queens Drive, Toronto",-79.50431499999999,43.7072091
"129 Peter St, Toronto",-79.3932675,43.64869789999999
"512 Jarvis St., Toronto",-79.3793101,43.6676312
"29 Leslie Street, Toronto",-79.329504,43.661969
"2671 Islington Avenue, Toronto",-79.5658217,43.7393109
"3306 Kingston Road, Toronto",-79.2234829,43.7342249
"7 Vanauley Street, Toronto",-79.3982293,43.6488364
"348 Davenport Rd., Toronto",-79.4013484,43.6754029
"248 Dufferin Street, Toronto",-79.4271845,43.63783309999999
"747 Warden Ave, Toronto",-79.28287999999999,43.7178161
